,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
133,5,Singapore,28.9,46.3,61.2,66.6,72.7,73.2,74.1,74.8,75.5,75.5 d
134,40,Slovakia,71.8,90.5,92.1,97.9,97.4,97.3,99.1,99.1,99.2,99.2 d
135,25,Slovenia,78.0,84.7,93.2,93.1,94.0,94.8,95.8,96.1,96.5,96.5 d
136,119,South Africa,37.7,51.3,53.6,62.6,69.7,71.1,72.7,73.2,73.7,73.7 d
137,27,Spain,30.1,42.9,54.9,58.4,64.2,65.6,66.8,68.8,70.9,70.9 d
138,73,Sri Lanka,49.0,59.9,71.0,72.2,72.8,74.7,76.5,78.3,80.2,80.2 d
139,165,Sudan,3.9,6.4,9.1,11.0,12.1,12.5,12.9,13.3,13.7,13.7 aaa
140,97,Suriname,,,39.8,45.9,52.4,53.7,55.0,56.4,57.7,57.7 d
141,148,Swaziland,29.8,28.4,24.0,16.4,21.9,23.2,24.6,26.0,27.3,27.3 aaa
142,14,Sweden,67.2,73.2,79.9,88.7,85.1,85.9,86.5,87.2,87.8,87.8 d
143,2,Switzerland,57.4,57.5,64.5,81.5,94.6,94.7,95.0,95.5,96.1,96.1 d
144,149,Syrian Arab Republic,18.8,22.1,25.6,27.1,29.5,30.8,32.1,33.5,34.8,34.8 d
145,129,Tajikistan,71.2,82.3,89.9,92.7,95.0,95.8,96.5,97.3,98.0,98.0 d
146,151,Tanzania (United Republic of),2.5,3.2,4.0,5.5,7.7,8.1,8.6,9.3,10.1,10.1 d
147,87,Thailand,11.6,13.6,18.7,29.4,35.7,36.7,37.7,38.7,40.9,40.9 d
148,82,The former Yugoslav Republic of Macedonia,,,,,,,,,,40.2 d
149,166,Togo,9.5,11.0,12.6,13.7,16.1,17.9,19.6,21.4,23.1,23.1 d
150,101,Tonga,59.9,71.6,70.7,68.6,83.6,87.5,88.7,90.0,91.2,91.2 d
151,65,Trinidad and Tobago,37.0,44.0,50.7,56.6,59.7,62.4,65.1,67.9,70.6,70.6 d
152,97,Tunisia,12.0,15.9,20.7,26.1,32.8,34.0,33.3,35.4,37.5,37.5 d
153,71,Turkey,12.3,14.0,18.1,20.9,34.1,37.5,39.0,40.5,43.5,43.5 d
154,111,Turkmenistan,,88.1,,,,,,,,
155,163,Uganda,6.2,7.2,7.1,15.1,22.9,23.7,24.4,25.2,25.9,25.9 d
156,84,Ukraine,72.6,79.7,84.0,89.4,91.7,92.4,93.0,93.7,94.3,94.3 d
157,42,United Arab Emirates,43.9,55.8,64.4,70.9,73.1,74.2,75.3,76.3,77.4,77.4 d
158,16,United Kingdom,67.0,72.7,79.5,88.8,99.7,99.8,81.6,81.4,81.3,81.3 d
159,10,United States,92.8,93.4,93.8,93.9,94.9,95.0,95.1,95.4,95.4,95.4 d
160,54,Uruguay,39.8,42.6,52.9,52.4,50.6,53.1,54.4,53.8,55.0,55.0 d
161,105,Uzbekistan,,,,,,,,99.9,99.9,99.9 d
162,71,Venezuela (Bolivarian Republic of),23.4,30.0,35.3,44.3,61.2,65.8,68.1,70.3,72.6,72.6 d
163,115,Viet Nam,10.3,18.4,30.2,44.6,59.9,60.3,61.5,62.7,64.0,64.0 d
164,168,Yemen,0.4,0.9,2.6,5.0,8.6,10.3,12.1,13.9,15.6,15.6 aaa
165,139,Zambia,20.7,40.9,30.4,37.5,42.6,45.0,47.5,49.9,52.3,52.3 d
166,154,Zimbabwe,16.6,28.5,37.1,40.5,46.3,47.5,48.7,50.3,51.9,51.9 d
167,,,,,,,,,,,,
